,Value,Units,Description,Source,Category
Bound,10000.0,-,Default Variable Upper Bound,Gurobi doc,General
Pigs,55.0,-,Number of Pigs,swissfuturefarm.ch,Biomass
Cows,65.0,-,Number of Pigs,swissfuturefarm.ch,Biomass
LSU_pigs,0.5,-,LSU per Pigs,ec.europa.eu,Biomass
LSU,92.5,LSU,Number of LSU,calc,Biomass
Manure_per_cattle,7.3,kg-dry/day/LSU,Cattle manure production,doi: 10.3390/c5020027,Biomass
Manure_HHV_dry,4.166666666666667,kWh/kg-dry,Manure energy content,doi: 10.3390/c5020027,Biomass
Biomass_prod,117.23090277777779,kWh/h,Biomass Production,calc,Biomass
PV_eff,0.14,-,PV efficiency,Paul,PV
BAT_eff,1.0,-,BAT roundtrip efficiency,guess,BAT
AD_eff,0.3,-,AD efficiency,guess,AD
AD_elec_cons,0.008,-,AD faction of electricity consumed,doi: 10.3390/en10081165,AD
SOFC_eff,0.6,-,SOFC electric efficiency,guess,AD
GC_elec_frac,0.03,-,gas cleaning electric consumption fraction,Projet Semestre nils,AD
i,0.025,-,Annual interest rate,guess,economic
n,20.0,years,years of exploitation,guess,economic
tau,0.06414712873447465,-,Annualization factor,calc,economic
