Technology,Cost $[CHF/S]$,Cost per item $[CHF]$,Cost multiplier $[-]$,Life $[Years]$,Maintenance $[-]$,LCA $[t-CO2/S]$,Size units,Source
BAT,$970$,$620$,$1.33$,$10$,$0.02$,$0.1$,kWh,Paul PHD
GBOI,$105$,$3800$,$1.8$,$20$,$0.05$,$0.02$,kW,Paul PHD
WBOI,$494$,$1000$,$1$,$20$,$0.035$,$0.02$,kW,energyscope
AHP,$1240$,$5680$,$1.8$,$20$,$0.02$,$0.02$,kW,Paul PHD
SOFC,$2100$,$15542$,$1.8$,$10$,$0.05$,$0.02$,kW,Paul PHD
PV,$2656$,$2495$,$1.33$,$20$,$0.02$,$0.02$,kW,Paul PHD
AD,$1500$,$5000$,$1.8$,$20$,$0.1$,$0.02$,kW,IEA
GC,$2800$,$3000$,$1.8$,$20$,$0.02$,$0.02$,kW,W2W work group 2
CGT,$0.923$,$71600$,$1.8$,$25$,$0.02$,$0.02$,kWh,Smith 2014
GCSOFC,$23.4$,$467$,$1$,$10$,$0.03$,$0.02$,kW,Nils PdS
EH,$13$,$968$,$1$,$20$,$0.02$,$0.02$,kW,Paul PHD
ICE,$2000$,$1000$,$1$,$20$,$0.025$,$0.02$,kW,Samuel PdM
