SFF_index,EGID,Ground_surface,Floors,Type,Year,renovated
1,654870,402,3,apartment,1971,
2,654873,179,2,individual,1919,yes
3,654867,176,2,individual,1961,
4,400068165,282,3,individual,1919,yes
5,654866,410,4,apartment,1971,
6,400068157,657,3,apartment,1971,
7,190199071,516,3,apartment,1971,
8,400068785,244,4,individual,1919,yes
9,400068826,849,2,individual,1919,yes
10,400068823,223,2,individual,1971,
11,400068836,602,2,individual,1971,
12,400059465,359,1,individual,1971,
13,400068831,399,2,individual,1971,
14,400059504,629,1,individual,1971,
15,400059494,629,1,individual,1971,
16,400059490,45,1,individual,1971,
