,Value,Lower Bound,Upper Bound,Units,Decription,Type
unit_size[BOI],655.3394048272266,0.0,10000.0,kW,Installed capacity of BOI,unique
unit_size[PV],0.0,0.0,10000.0,kW,Installed capacity of PV,unique
unit_size[BAT],0.0,0.0,10000.0,kWh,Installed capacity of BAT,unique
unit_size[SOFC],999.8319125778268,0.0,10000.0,kW,Installed capacity of SOFC,unique
unit_size[AD],31.183420135137496,0.0,10000.0,kW,Installed capacity of AD,unique
unit_install[BOI],1.0,0.0,1.0,-,BOI decision variable,bool
unit_install[PV],0.0,0.0,1.0,-,PV decision variable,bool
unit_install[BAT],0.0,0.0,1.0,-,BAT decision variable,bool
unit_install[SOFC],1.0,0.0,1.0,-,SOFC decision variable,bool
unit_install[AD],1.0,0.0,1.0,-,AD decision variable,bool
unit_capex[BOI],130.69914751234583,0.0,10000.0,kCHF,Investment cost of BOI,unique
unit_capex[PV],0.0,0.0,10000.0,kCHF,Investment cost of PV,unique
unit_capex[BAT],0.0,0.0,10000.0,kCHF,Investment cost of BAT,unique
unit_capex[SOFC],3807.3402295441856,0.0,10000.0,kCHF,Investment cost of SOFC,unique
unit_capex[AD],93.19523436487124,0.0,10000.0,kCHF,Investment cost of AD,unique
min_T_AD,30.0,-10000.0,10000.0,,,
max_T_AD,40.0,-10000.0,10000.0,,,
penalty,0.9904199937190328,0.0,10000.0,,,
grid_export_a[Elec],10000.0,0.0,10000.0,,,
grid_export_a[Gas],74.4111138106734,0.0,10000.0,,,
grid_import_a[Elec],2829.726688405837,0.0,10000.0,,,
grid_import_a[Gas],1566.628270140212,0.0,10000.0,,,
emissions,-661.920116607971,-10000.0,10000.0,t-CO2,Annual total CO2 emissions,
capex,4.031234611421403,0.0,10000.0,MCHF,total CAPEX,
opex,-2.2648549702353193e-14,0.0,10000.0,MCHF/year,total annual opex,
totex,0.25859212557769595,0.0,10000.0,MCHF/year,total annualized expenses,
